Reference,Value,Qty,MRF,Digikey
"ANT1,ANT2",U.FL-R-SMT-1_10_,2,U.FL-R-SMT(10),H9161CT-ND
C1,4.7uF,1,GRM155R60J475ME47J,490-GRM155R60J475ME47JCT-ND
C2,10nF,1,CC0402KRX7R6BB103,311-1703-1-ND
"C3,C13,C14,C17,C18,C19,C29,C30,C31,C32,C33",0.1uF,11,CL10B104KB8NNWC,1276-1935-1-ND
C4,100pF,1,CC0402JRNPO9BN101,311-1024-1-ND
"C5,C6,C7,C11,C12",33pF,5,GRM1555C1H330JA01D,490-5936-1-ND
"C9,C10",10pF,2,GRM1555C1H100JA01D,490-5921-1-ND
"C15,C16",100uF,2,TAJA107K004RNJ,478-8876-1-ND
"C20,C34",10uF,2,CM105X5R106K16AT,478-CM105X5R106K16ATCT-ND
"C21,C22,C23,C24,C25",1uF,5,CL05A105KQ5NNNC,1276-1010-1-ND
D1,LED Orange,1,B2841UD--20D000614U1930,3147-B2841UD--20D000614U1930CT-ND
D2,LED Blue,1,B2841NB--20C001414U1930,3147-B2841NB--20C001414U1930CT-ND
D3,MBR140SFT1G,1,MBR140SFT1G,MBR140SFT1GOSTR-ND
D4,LBZT52B5V6T1G,1,BZT52B5V6-HE3_A-08,112-BZT52B5V6-HE3_A-08TR-ND
"D5,D12",LED Red,2,B2841URO-20C001114U1930,3147-B2841URO-20C001114U1930CT-ND
D11,Green,1,B1811NG--05D001013U1930,3147-B1811NG--05D001013U1930CT-ND
IC1,IS25WP064A-JBLE,1,IS25WP064A-JBLE,706-1590-ND
IC2,DMP1045U-7,1,DMP1045U-7,DMP1045U-7DITR-ND
"J2,J6",I2C,2,SM04B-SRSS-TB,455-SM04B-SRSS-TBCT-ND
J3,JTAG,1,FTSH-105-01-F-DV,SAM8795-ND
J4,SMN-305,1,NSIM-2-C,2223-NSIM-2-CCT-ND
J7,BAT_CON,1,B02B-XASK-1N,455-B02B-XASK-1N-ND
J9,USBC,1,12402012E212A,664-12402012E212ATR-ND
JP2,USB Select,1,PR20C03VBDN,1849-1000-ND
L1,47nh,1,7447860147,732-7447860147CT-ND
"Q1,Q5,Q6,Q7,Q8,Q9",DTC043ZEBTL,6,DTC043ZEBTL,DTC043ZEBTLCT-ND
Q10,DTC143ZEBTL,1,DTC143ZEBTL,DTC143ZEBTLCT-ND
Q11,IRLML6401,1,IRLML6401TRPBF,IRLML6401PBFCT-ND
"R1,R3,R4,R10,R16,R17",10k,6,RC0603FR-0710KL,311-10.0KHRCT-ND
"R2,R9,R12,R13",4.7k,4,RC0402FR-074K7L,311-4.7KLRCT-ND
"R5,R6",5.1k,2,ERJ-2GEJ512X,P5.1KJTR-ND
R7,100k,1,RC0402FR-07100KL,311-100KLRTR-ND
"R8,R15,R23,R24",1k,4,RC0402FR-071KL,311-1.00KLRCT-ND
R11,10,1,RC0402FR-0710RL,311-10.0LRCT-ND
"R14,R18",0,2,RMCF0402ZT0R00,RMCF0402ZT0R00CT-ND
"R19,R20",2k,2,ERJ-2RKF2001X,P2.00KLTR-ND
R22,1.2k,1,RMCF0402JT1K20,RMCF0402JT1K20CT-ND
"SW1,SW2","PWR,RESET",2,B3U-1000PM,39-B3U-1000PMTR-ND
SW3,SW_SPDT,1,CSS-1210TB,563-1091-1-ND
U1,HOLYIOT-18010,1,,
"U2,U5",D3V3XA4B10LP,2,D3V3XA4B10LP-7,31-D3V3XA4B10LP-7CT-ND
U3,BG96,1,,
U4,MAX17048,1,MAX17048G+T10,MAX17048G+T10TR-ND
U6,TP4056,1,,
U7,AP2127K-3.3,1,AP2127K-3.3TRG1,AP2127K-3.3TRG1DICT-ND
U8,AP2127K-1.8,1,AP2127K-1.8TRG1,AP2127K-1.8TRG1DICT-ND
U9,RP173N421B,1,RP173N421B-TR-FE,RP173N421B-TR-FE
U11,TXS0104PWR,1,TXS0104EPWR,296-20697-1-ND
Z1,MM3Z5V1ST1G,1,MM3Z5V1ST1G,MM3Z5V1ST1GOSCT-ND
